percentile,word,translation
8,PREMIER,PREMIER
0, , 
28,CHAPITRE,CHAPTER
0,"
","
"
0,"
","
"
13,Lorsque,When
0, , 
3,j',I 
10,avais,had
0, , 
15,six,six
0, , 
6,ans,years
0, , 
3,j',I 
4,ai,have
0, , 
8,vu,saw
0,",",","
0, , 
2,une,one
0, , 
7,fois,time
0,",",","
0, , 
2,une,a
0, , 
21,magnifique,magnificent
0, , 
15,image,image
0,",",","
0, , 
3,dans,in
0, , 
2,un,a
0, , 
13,livre,book
0, , 
3,sur,about
0, , 
1,la,the
0, , 
26,Forêt,forest
0, , 
29,Vierge,virgin
0, , 
3,qui,that
0, , 
4,s',itself 
37,appelait,was called
0, , 
0,"""",""""
25,Histoires,stories
0, , 
78,Vécues,lived
0,"""",""""
0,.,.
0, , 
4,Ça,It
0, , 
52,représentait,was representing
0, , 
2,un,a
0, , 
45,serpent,serpent
0, , 
84,boa,boa
0, , 
3,qui,that
0, , 
100,avalait,was swallowing
0, , 
2,un,a
0, , 
66,fauve,wild animal
0,.,.
0, , 
13,Voilà,There
0, , 
1,la,a
0, , 
33,copie,copy
0, , 
3,du,of the
0, , 
27,dessin,picture
0,.,.
0,"
","
"
0,"
","
"
4,On,They
0, , 
22,disait,were saying
0, , 
3,dans,in
0, , 
1,le,the
0, , 
13,livre,book
0,:,:
0, , 
0,"""",""""
1,Les,The
0, , 
59,serpents,serpents
0, , 
100,boas,boa
0, , 
99,avalent,swallow
0, , 
6,leur,their
0, , 
46,proie,prey
0, , 
5,tout,all
0, , 
29,entière,whole
0,",",","
0, , 
6,sans,without
0, , 
1,la,it
0, , 
84,mâcher,to chew
0,.,.
0, , 
12,Ensuite,Next
0, , 
5,ils,they
0, , 
4,ne,not
0, , 
11,peuvent,can
0, , 
4,plus,more
0, , 
32,bouger,move
0, , 
1,et,and
0, , 
5,ils,they
0, , 
60,dorment,sleep
0, , 
8,pendant,during
0, , 
1,les,the
0, , 
15,six,six
0, , 
9,mois,month
0, , 
1,de,of
0, , 
6,leur,their
0, , 
71,digestion,digestion
0,"""",""""
0,.,.
0,"
","
"
0,"
","
"
3,J',I 
4,ai,have
0, , 
6,alors,then
0, , 
8,beaucoup,much
0, , 
50,réfléchi,reflected
0, , 
3,sur,about
0, , 
1,les,the
0, , 
38,aventures,adventures
0, , 
1,de,of
0, , 
1,la,the
0, , 
48,jungle,jungle
0, , 
1,et,and
0,",",","
0, , 
1,à,in
0, , 
5,mon,my
0, , 
12,tour,round
0,",",","
0, , 
3,j',I 
4,ai,have
0, , 
19,réussi,succeeded
0,",",","
0, , 
4,avec,with
0, , 
2,un,a
0, , 
52,crayon,pencil
0, , 
1,de,of
0, , 
19,couleur,color
0,",",","
0, , 
1,à,to
0, , 
59,tracer,draw
0, , 
5,mon,my
0, , 
8,premier,first
0, , 
27,dessin,drawing
0,.,.
0, , 
5,Mon,My
0, , 
27,dessin,drawing
0, , 
17,numéro,number
0, , 
0,1,1
0,.,.
0, , 
3,Il,It
0, , 
5,était,was
0, , 
5,comme,such as
0, , 
4,ça,that
0,:,:
0,"
","
"
0,"
","
"
3,J',I 
4,ai,have
0, , 
27,montré,shown
0, , 
5,mon,my
0, , 
12,chef,chief
0, , 
1,d',of 
27,oeuvre,work
0, , 
5,aux,to
0, , 
15,grandes,grown-up
0, , 
9,personnes,people
0, , 
1,et,and
0, , 
3,je,I 
0, , 
6,leur,them
0, , 
4,ai,have
0, , 
17,demandé,asked
0, , 
5,si,if
0, , 
5,mon,my
0, , 
27,dessin,drawing
0, , 
6,leur,them
0, , 
15,faisait,was making
0, , 
13,peur,fear
0,.,.
0,"
","
"
0,"
","
"
8,Elles,They
0, , 
5,m',me
5,ont,have
0, , 
26,répondu,responded
0,:,:
0, , 
0,"""",""""
9,Pourquoi,Why
0, , 
2,un,a
0, , 
33,chapeau,hat
0, , 
25,ferait,would make
0, , 
3,il,it
0, , 
13,peur,fear
0,?,?
0,"""",""""
0,"
","
"
0,"
","
"
5,Mon,My
0, , 
27,dessin,drawing
0, , 
4,ne,not
0, , 
52,représentait,was representing
0, , 
4,pas,not
0, ,
2,un,a
0, , 
33,chapeau,hat
0,.,.
0, , 
3,Il,It
0, , 
52,représentait,was representing
0, , 
2,un,a
0, , 
45,serpent,serpent
0, , 
84,boa,boa
0, , 
3,qui,that
0, , 
100,digérait,was digesting
0, , 
2,un,an
0, , 
55,éléphant,elephant
0,.,.
0, , 
3,J',I 
4,ai,have
0, , 
6,alors,then
0, , 
53,dessiné,drawn
0, , 
1,l',the
15,intérieur,interior
0, , 
3,du,of the
0, , 
45,serpent,serpent
0, , 
84,boa,boa
0,",",","
0, , 
12,afin,in order to
0, , 
2,que,that
0, , 
1,les,the
0, , 
15,grandes,grown-up
0, , 
9,personnes,people
0, , 
32,puissent,can
0, , 
15,comprendre,understand
0,.,.
0, , 
8,Elles,They
0, , 
5,ont,have
0, , 
7,toujours,always
0, , 
10,besoin,need
0, , 
1,d',of 
38,explications,explanations
0,.,.
0, , 
5,Mon,My
0, , 
27,dessin,drawing
0, , 
17,numéro,number
0, , 
0,2,2
0, , 
5,était,was
0, , 
5,comme,like
0, , 
4,ça,that
0,:,:
0,"
","
"
0,"
","
"
1,Les,The
0, , 
15,grandes,grown-up
0, , 
9,personnes,people
0, , 
5,m',me 
5,ont,have
0, , 
48,conseillé,advised
0, , 
1,de,to
0, , 
14,laisser,leave
0, , 
10,de côté,aside
0, , 
1,les,the
0, , 
33,dessins,drawings
0, , 
1,de,of
0, , 
59,serpents,serpents
0, , 
100,boas,boa
0, , 
38,ouverts,open
0, , 
4,ou,or
0, , 
45,fermés,closed
0,",",","
0, , 
1,et,and
0, , 
1,de,of
0, , 
5,m',myself 
40,intéresser,to interest
0, , 
12,plutôt,instead
0, , 
1,à,in
0, , 
1,la,the
0, , 
42,géographie,geography
0,",",","
0, , 
1,à,in
0, , 
1,l',the 
9,histoire,history
0,",",","
0, , 
3,au,in the
0, , 
30,calcul,arithmetic
0, , 
1,et,and
0, , 
1,à,in
0, , 
1,la,the
0, , 
48,grammaire,grammar
0,.,.
0, , 
3,C',It 
2,est,is
0, , 
7,ainsi,thereby
0, , 
2,que,that
0, , 
3,j',I 
4,ai,have
0, , 
33,abandonné,abandoned
0,",",","
0, , 
1,à,at
0, , 
1,l',the 
14,âge,age
0, , 
1,de,of
0, , 
15,six,six
0, , 
6,ans,years
0,",",","
0, , 
2,une,a
0, , 
21,magnifique,magnificent
0, , 
19,carrière,career
0, , 
1,de,of
0, , 
26,peinture,painting
0,.,.
0, , 
3,J',I 
10,avais,had
0, , 
5,été,been
0, , 
81,découragé,discouraged
0, , 
3,par,by
0, , 
1,l',the 
100,insuccès,failure
0, , 
1,de,of
0, , 
5,mon,my
0, , 
27,dessin,drawing
0, , 
17,numéro,number
0, , 
0,1,1
0, , 
1,et,and
0, , 
1,de,of
0, , 
5,mon,my
0, , 
27,dessin,drawing
0, , 
17,numéro,number
0, , 
0,2,2
0,.,.
0, , 
1,Les,The
0, , 
15,grandes,grown-up
0, , 
9,personnes,people
0, , 
4,ne,not
0, , 
34,comprennent,understand
0, , 
7,jamais,never
0, , 
7,rien,anything
0, , 
8,toutes,all
0, , 
30,seules,alone
0,",",","
0, , 
1,et,and
0, , 
3,c',it 
2,est,is
0, , 
83,fatigant,exhausting
0,",",","
0, , 
3,pour,for
0, , 
1,les,the
0, , 
10,enfants,children
0,",",","
0, , 
1,de,to
0, , 
7,toujours,always
0, , 
6,leur,them
0, , 
11,donner,to give
0, , 
2,des,of the
0, , 
38,explications,explanations
0,.,.
0,"
","
"
0,"
","
"
3,J',I 
4,ai,have
0, , 
7,donc,consequently
0, , 
16,dû,had to
0, , 
21,choisir,choose
0, , 
2,un,an
0, , 
6,autre,alternative
0, , 
25,métier,trade
0, , 
1,et,and
0, , 
3,j',I 
4,ai,have
0, , 
21,appris,learned
0, , 
1,à,to
0, , 
63,piloter,pilot
0, , 
2,des,of the
0, , 
23,avions,planes
0,.,.
0, , 
3,J',I 
4,ai,have
0, , 
39,volé,flown
0, , 
2,un,a
0, , 
6,peu,little
0, , 
15,partout,all over
0, , 
3,dans,in
0, , 
1,le,the
0, , 
7,monde,world
0,.,.
0, , 
1,Et,And
0, , 
1,la,the
0, , 
42,géographie,geographie
0,",",","
0, , 
3,c',it 
2,est,is
0, , 
37,exact,true
0,",",","
0, , 
5,m',me 
2,a,have
0, , 
8,beaucoup,much
0, , 
29,servi,helped
0,.,.
0, , 
3,Je,I
0, , 
25,savais,knew
0, , 
29,reconnaître,to recognize
0,",",","
0, , 
3,du,of the
0, , 
8,premier,first
0, , 
9,coup,move
0, , 
1,d',of 
29,oeil,eye
0,",",","
0, , 
1,la,the
0, , 
19,Chine,China
0, , 
1,de,from
0, , 
1,l',the 
60,Arizona,Arizona
0,.,.
0, , 
3,C',It 
2,est,is
0, , 
24,utile,useful
0,",",","
0, , 
5,si,if
0, , 
4,l'on,we
0, , 
2,est,are
0, , 
74,égaré,lost
0, , 
8,pendant,during
0, , 
1,la,the
0, , 
12,nuit,night
0,.,.
0,"
","
"
0,"
","
"
3,J',I 
4,ai,have
0, , 
7,ainsi,so
0, , 
8,eu,had
0,",",","
0, , 
3,au,at the
0, , 
9,cours,course
0, , 
1,de,of
0, , 
6,ma,my
0, , 
7,vie,life
0,",",","
0, , 
28,des tas,lots
0, , 
1,de,of
0, , 
38,contacts,contacts
0, , 
4,avec,with
0, , 
28,des tas,lots
0, , 
1,de,of
0, , 
7,gens,people
0, , 
18,sérieux,serious
0,.,.
0, , 
3,J',I 
4,ai,have
0, , 
8,beaucoup,much
0, , 
25,vécu,experience
0, , 
7,chez,among
0, , 
1,les,the
0, , 
15,grandes,grown-up
0, , 
9,personnes,people
0,.,.
0, , 
3,Je,I
0, , 
1,les,them
0, , 
4,ai,have
0, , 
33,vues,views
0, , 
1,de,of
0, , 
6,très,very
0, , 
11,près,close
0,.,.
0, , 
4,Ça,It
0, , 
4,n',not
0, , 
2,a,has
0, , 
4,pas,not
0, , 
7,trop,too much
0, , 
53,amélioré,improved
0, , 
5,mon,my
0, , 
23,opinion,opinion
0,.,.
0,"
","
"
0,"
","
"
6,Quand,When
0, , 
3,j',I 
97,en rencontrais,would meet
0, , 
2,une,one
0, , 
3,qui,who
0, , 
5,me,myself
0, , 
59,paraissait,was appearing
0, , 
2,un,a
0, , 
6,peu,bit
0, , 
61,lucide,clear-headed
0,",",","
0, , 
3,je,I 
0, , 
34,faisais,would make
0, , 
1,l',the 
16,expérience,experience
0, , 
3,sur,with
0, , 
4,elle,her
0, , 
1,de,of
0, , 
5,mon,my
0, , 
27,dessin,drawing
0, , 
100,no.1,no.1
0, , 
2,que,that
0, , 
3,j',I 
4,ai,have
0, , 
7,toujours,always
0, , 
40,conservé,kept
0,.,.
0, , 
3,Je,I
0, , 
20,voulais,would want
0, , 
10,savoir,to know
0, , 
5,si,if
0, , 
4,elle,she
0, , 
5,était,was
0, , 
7,vraiment,actually
0, , 
92,compréhensive,comprehensive
0,.,.
0, , 
4,Mais,But
0, , 
7,toujours,always
0, , 
4,elle,she
0, , 
5,me,me
0, , 
62,répondait,was answering
0,:,:
0, , 
0,"""",""""
3,C'est,It is
0, , 
2,un,a
0, , 
33,chapeau,hat
0,.,.
0,"""",""""
0, , 
6,Alors,Then
0, , 
3,je,I
0, , 
4,ne,not
0, , 
6,lui,her
0, , 
39,parlais,talk
0, , 
10,ni,neither
0, , 
1,de,of
0, , 
59,serpents,serpents
0, , 
100,boas,boa
0,",",","
0, , 
10,ni,nor
0, , 
1,de,of
0, , 
37,forêts,forests
0, , 
58,vierges,virgin
0,",",","
0, , 
10,ni,nor
0, , 
1,d',of 
27,étoiles,stars
0,.,.
0, , 
3,Je,I
0, , 
5,me,myself
0, , 
67,mettais,was putting
0, , 
1,à,at
0, , 
5,sa,her
0, , 
26,portée,scope
0,.,.
0, , 
3,Je,I
0, , 
6,lui,her
0, , 
39,parlais,was talking
0, , 
1,de,of
0, , 
63,bridge,bridge
0,",",","
0, , 
1,de,of
0, , 
37,golf,golf
0,",",","
0, , 
1,de,of
0, , 
9,politique,politics
0, , 
1,et,and
0, , 
1,de,of
0, , 
87,cravates,ties
0,.,.
0, , 
1,Et,And
0, , 
1,la,the
0, , 
9,grande,grown-up
0, , 
8,personne,person
0, , 
5,était,was
0, , 
5,bien,very
0, , 
29,contente,happy
0, , 
1,de,to
0, , 
19,connaître,to know
0, , 
2,un,a
0, , 
8,homme,person
0, , 
6,aussi,also
0, , 
37,raisonnable,reasonable
0,.,.
0,"
","
"
0,"
","
"
28,CHAPITRE,[chapter]
0, , 
15,II,[ii]
0,"
","
"
0,"
","
"
3,J',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
7,ainsi,[as;so;thereby;thus]
0, , 
25,vécu,[exist;experience;live;lived;shack;share]
0, , 
9,seul,[alone;bachelor;lone;lonely;lonesome;mere;only;only one;single;sole;unaccompanied;very]
0,",",","
0, , 
6,sans,[wanting;without]
0, , 
8,personne,[anybody;anyone;man;no one;nobody;none;person;personage;self]
0, , 
4,avec,[along;along with;to;together with;with]
0, , 
3,qui,[that;which;who;whom]
0, , 
10,parler,[converse;parlance;say;speak;talk;tell;tongue;voice]
0, , 
44,véritablement,[actually;exactly;really;truly]
0,",",","
0, , 
29,jusqu',[until]
1,à,[at;by;in;to;upon;with]
0, , 
2,une,[a;an;one]
0, , 
40,panne,[breakdown;jam;panne;purlin]
0, , 
3,dans,[aboard;along;during;in;inside;into;on;within]
0, , 
1,le,[him;it;the]
0, , 
35,désert,[desert;emptiness;sands;wastes;wilderness]
0, , 
3,du,[due;of;owing]
0, , 
60,Sahara,[sahara]
0,",",","
0, , 
3,il,[he;it]
0, , 
4,y,[y]
0, , 
2,a,[at;by;in;to;upon;with]
0, , 
15,six,[six]
0, , 
6,ans,[years]
0,.,.
0, , 
9,Quelque,[a few;about;some]
0, , 
8,chose,[object;stuff;thing]
0, , 
4,s',[herself;himself;se;themselves;as;b;if;si;so;such;that;whether]
5,était,[be;exist;was]
0, , 
39,cassé,[broke;broken;in pieces]
0, , 
3,dans,[aboard;along;during;in;inside;into;on;within]
0, , 
5,mon,[my]
0, , 
24,moteur,[engine;motive;motor;moving]
0,",",","
0, , 
1,Et,[and]
0, , 
5,comme,[as;as though;like;like that;like this;per;since;such as]
0, , 
3,je,[i]
0, , 
4,n',[born;not]
10,avais,[get;had;have;hold;own;possess;stock]
0, , 
4,avec,[along;along with;to;together with;with]
0, , 
6,moi,[ego;i;me;us]
0, , 
10,ni,[neither;nor;or]
0, , 
65,mécanicien,[engine driver;mechanic;mechanic engineer;mechanician]
0,",",","
0, , 
10,ni,[neither;nor;or]
0, , 
37,passagers,[brief;passenger;passengers;passing;voyager]
0,",",","
0, , 
3,je,[i]
0, , 
5,me,[me;myself]
0, , 
100,préparai,[prepare]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
18,essayer,[aim;assay;attempt;essay;give it a whirl;have a go;test;to try;try;try on]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
29,réussir,[achieve;arrive;bring off;carry;click;come;do well;fare;forge ahead;get;get ahead;get on;get through;go off well;hit;make a go of it;make a success;make big time;make efficient;make good;make the grade;pan;pan out;pass;prosper;pull off;succeed;thrive;triumph;win out;work;work out]
0,",",","
0, , 
5,tout,[all;all up;any;anything;entire;every;in all;most important;very;whole]
0, , 
9,seul,[alone;bachelor;lone;lonely;lonesome;mere;only;only one;single;sole;unaccompanied;very]
0,",",","
0, , 
2,une,[a;an;one]
0, , 
42,réparation,[atonement;mending;redemption;repair;reparation;satisfaction]
0, , 
14,difficile,[arduous;awkward;difficult;fiendish;finicking;fussy;hard;hard and fast;knotty;labored;laboured;lean;nice;painful;pernickety;severe;sticky;testing;tough;tricky;troublesome;uneasy;unmanageable;uphill]
0,.,.
0, , 
3,C',[it;that;this]
5,était,[be;exist;was]
0, , 
3,pour,[for;of;to;toward;towards]
0, , 
6,moi,[ego;i;me;us]
0, , 
2,une,[a;an;one]
0, , 
10,question,[issue;item;matter;query;question]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
7,vie,[career;life;lifetime;living]
0, , 
4,ou,[or;that;where;whereabouts;wherein;whither]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
9,mort,[casualty;dead;dead man;demise;died;doom;dummy;dying;exit;extinct;fate;gone;passing;quietus]
0,.,.
0, , 
3,J',[i]
10,avais,[get;had;have;hold;own;possess;stock]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
13,peine,[sadness]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
1,l',[him;it;the]
10,eau,[aqua;water;wet]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
26,boire,[absorb;bib;blot;drain;drink;drink away;imbibe;ingrain;quaff]
0, , 
3,pour,[for;of;to;toward;towards]
0, , 
18,huit,[eight]
0, , 
9,jours,[day;days;daytime]
0,.,.
0,"
","
"
0,"
","
"
1,Le,[him;it;the]
0, , 
8,premier,[chief;early;first;first of all;former;front;initial;preliminary;premier;primal;prime;top;ultimate]
0, , 
10,soir,[dusk;eve;evening]
0, , 
3,je,[i]
0, , 
5,me,[me;myself]
0, , 
6,suis,[am]
0, , 
7,donc,[consequently;so;therefore;thus;whereof]
0, , 
57,endormi,[asleep]
0, , 
3,sur,[about;across;after;against;along;at;before;on;onto;over;to;upon;with]
0, , 
1,le,[him;it;the]
0, , 
33,sable,[fettle;grit;grittiness;sand]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
26,mille,[mile;thousand]
0, , 
52,milles,[miles]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
7,toute,[all]
0, , 
12,terre,[earth]
0, , 
70,habitée,[dwell;inhabit;inhabited;live in;lodge;occupy;shack;stay;tenant]
0,.,.
0, , 
3,J',[i]
12,étais,[is]
0, , 
5,bien,[all right;alright;decent;gold;good;greatly;kindly;nice;nicely;ok;okay;okey;possession;right;rightly;very;welfare;well;well-being]
0, , 
4,plus,[any;further;more;most;plus]
0, , 
44,isolé,[cloistered;cut-off;friendless;insular;insulated;isolated;isolated person;lone;lonely;lonesome;outlying;quiet;remote;retired;secluded;segregated;shy;stray]
0, , 
2,qu',[how;than;that;what;whether;which;whom]
2,un,[a;an;one]
0, , 
96,naufragé,[castaway;shipwrecked;wrecked]
0, , 
3,sur,[about;across;after;against;along;at;before;on;onto;over;to;upon;with]
0, , 
2,un,[a;an;one]
0, , 
82,radeau,[raft]
0, , 
3,au,[at]
0, , 
14,milieu,[ambience;bosom;depth;environment;mean;medium;mid;middle;midst;milieu;underworld]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
1,l',[him;it;the]
32,océan,[ocean;sea]
0,.,.
0, , 
6,Alors,[here;so;then;yet]
0, , 
4,vous,[ye;you;you-all]
0, , 
41,imaginez,[conceive;dream up;image;imagine;make believe;project oneself;reckon;see;suppose;think]
0, , 
6,ma,[my]
0, , 
22,surprise,[astonishment;bombshell;eye-opener;shock;suddenness;surprise;treat]
0,",",","
0, , 
3,au,[at]
0, , 
28,lever,[dismiss;get up;heave;hoist;hold up;lever up;lift;prove;put up;put up with;raise;raise up;rise;rising;take up;take-off;thrust]
0, , 
3,du,[due;of;owing]
0, , 
8,jour,[day;daytime]
0,",",","
0, , 
6,quand,[when;whenever;wherever]
0, , 
2,une,[a;an;one]
0, , 
20,drôle,[amusing;comic;comical;droll;funny;rum]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
11,petite,[child;diminutive;little;petty;quiet;remote;short;small;toy;whelp]
0, , 
13,voix,[call;poll;voice]
0, , 
5,m',[me;myself]
2,a,[at;by;in;to;upon;with]
0, , 
45,réveillé,[arosen;awake;careful;clear;wake up]
0,.,.
0, , 
4,Elle,[her;herself;it;she]
0, , 
22,disait,[said]
0,:,:
0,"
","
"
0,"
","
"
0,  ,  
4,S',[herself;himself;se;themselves;as;b;if;si;so;such;that;whether]
3,il,[he;it]
0, , 
4,vous,[ye;you;you-all]
0, , 
27,plaît,[jail;like;please]
0,...,...
50,dessine,[define;design;draft;draught;draw;exhibit;lay out;limn;line;pencil;protract;sketch;style;trace over]
0, , 
6,moi,[ego;i;me;us]
0, , 
2,un,[a;an;one]
0, , 
49,mouton,[beetle;fly;mutton;ram;sheep;stool pigeon;tup]
0,!,!
0,"
","
"
0,"
","
"
0,  ,  
16,Hein,[eh]
0,!,!
0,"
","
"
0,"
","
"
0,  ,  
50,Dessine,[define;design;draft;draught;draw;exhibit;lay out;limn;line;pencil;protract;sketch;style;trace over]
0, , 
6,moi,[ego;i;me;us]
0, , 
2,un,[a;an;one]
0, , 
49,mouton,[beetle;fly;mutton;ram;sheep;stool pigeon;tup]
0,...,...
0,"
","
"
0,"
","
"
3,J',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
52,sauté,[jumped up;sprung]
0, , 
3,sur,[about;across;after;against;along;at;before;on;onto;over;to;upon;with]
0, , 
8,mes,[my]
0, , 
19,pieds,[base;bottom;feet;foot;leg]
0, , 
5,comme,[as;as though;like;like that;like this;per;since;such as]
0, , 
5,si,[as;b;if;si;so;such;that;whether]
0, , 
3,j',[i]
10,avais,[get;had;have;hold;own;possess;stock]
0, , 
5,été,[summer;summertime]
0, , 
33,frappé,[chilled;iced;smitten;struck]
0, , 
3,par,[by;on;out of;par;per;through;to;via]
0, , 
1,la,[a;her;it;la;lah;the;there]
0, , 
49,foudre,[lightning]
0,.,.
0, , 
3,J',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
5,bien,[all right;alright;decent;gold;good;greatly;kindly;nice;nicely;ok;okay;okey;possession;right;rightly;very;welfare;well;well-being]
0, , 
91,frotté,[chafe;fritter;rub;rubbing;scour;scrape;scrub;stone]
0, , 
8,mes,[my]
0, , 
12,yeux,[bud;eye;eyes]
0,.,.
0, , 
3,J',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
5,bien,[all right;alright;decent;gold;good;greatly;kindly;nice;nicely;ok;okay;okey;possession;right;rightly;very;welfare;well;well-being]
0, , 
30,regardé,[concern;gaze;gory;look;look at;see;sight;view;watch]
0,.,.
0, , 
1,Et,[and]
0, , 
3,j',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
8,vu,[got it;seen;understood]
0, , 
2,un,[a;an;one]
0, , 
8,petit,[child;diminutive;little;petty;quiet;remote;short;small;toy;whelp]
0, , 
46,bonhomme,[body;chap;fellow;hubby;old man]
0, , 
5,tout,[all;all up;any;anything;entire;every;in all;most important;very;whole]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
5,fait,[do;event;fact;occurrence;phenomenon;ripe]
0, , 
33,extraordinaire,[extraordinary;freak;freaked;marvellous;marvelous;off beat;out of this world;portentous;prodigious;special;stupendous;terrific;uncommon;wonderful]
0, , 
3,qui,[that;which;who;whom]
0, , 
5,me,[me;myself]
0, , 
61,considérait,[account;adjudge;bethink;call;consider;considered;deem;look at;make;number;ponder;put down;rate;reckon;regard;see;set;take into consideration;treat]
0, , 
48,gravement,[badly;gravely;seriously;severely;sorely]
0,.,.
0, , 
13,Voilà,[there]
0, , 
1,le,[him;it;the]
0, , 
12,meilleur,[best]
0, , 
29,portrait,[likeness;picture;portrait;portrayal]
0, , 
2,que,[how;than;that;what;whether;which;whom]
0,",",","
0, , 
4,plus,[any;further;more;most;plus]
0, , 
12,tard,[late]
0,",",","
0, , 
3,j',[i]
4,ai,[get;have;hold;own;possess;stock]
0, , 
19,réussi,[effective;felicitous;infallible;succeeded;successful]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
5,faire,[build;cook;do;draw up;go in for;handle;make;make up;perform;play;prepare;proffer;take;to do;transact;work]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
6,lui,[he;her;him;it]
0,.,.
0, , 
4,Mais,[although;but;only;probably;yet]
0, , 
5,mon,[my]
0, , 
27,dessin,[delineation;design;design ;designing;drawing;line;pattern;picture;trace]
0,",",","
0, , 
5,bien,[all right;alright;decent;gold;good;greatly;kindly;nice;nicely;ok;okay;okey;possession;right;rightly;very;welfare;well;well-being]
0, , 
13,sûr,[certain;clear;confident;dependable;in the bag;on;positive;reliable;retentive;safe;secure;sound;steady;sterling;sure;trusty;unerring;unfailing]
0,",",","
0, , 
2,est,[east;eastern;is]
0, , 
8,beaucoup,[a great deal;a great many;a lot;far;many;much;plenty;so much;widely]
0, , 
7,moins,[fewer;less;minus;wanting]
0, , 
87,ravissant,[delightful;entrancing;ravishing]
0, , 
2,que,[how;than;that;what;whether;which;whom]
0, , 
1,le,[him;it;the]
0, , 
18,modèle,[design;epitome;example;exemplar;foretype;make;model;mold;mould;paragon;pattern;perfect;role;sitter;style;template;type]
0,.,.
0, , 
3,Ce,[it;that;this]
0, , 
4,n',[born;not]
2,est,[east;eastern;is]
0, , 
2,pas,[foot;footstep;gage;gauge;move;not;pace;pitch;step;steps;tread]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
6,ma,[my]
0, , 
17,faute,[blame;coarseness;defect;demerit;error;fault;flaw;foul;missdeed;mistake;offence;offense;wrongful act]
0,.,.
0, , 
